income,age,employment_type,credit_score,past_repayment_history,transaction_behaviour,cash_flow_volatility,rent_payment_on_time,utility_bills_on_time,loan_amount,interest_rate,tenure_years,loan_to_value_ratio,debt_to_income_ratio,loan_to_income_ratio,cross_loan_exposure,declared_value,market_value,price_trend,crime_index,natural_disaster_risk,unemployment_rate,overvaluation_detected,document_consistency_check,synthetic_identity_detected,anomaly_patterns,industry,industry_growth_rate,regional_unemployment,regional_inflation,recession_indicator,portfolio_concentration_risk
117351,34,contract,748,good,spending_heavy,medium,True,True,444110,11.16,16,0.88,0.15,5.49,5,558165,382560,stable,medium,medium,7.9,False,failed,True,"multiple_ids_used,unusual_large_transaction",hospitality,-2.2,10.5,7.3,True,medium
123691,38,contract,589,good,frugal,medium,False,True,199964,10.06,14,0.9,0.31,5.0,5,572139,851498,stable,high,low,14.0,False,failed,False,"multiple_ids_used,sudden_address_change",manufacturing,0.5,3.8,2.6,False,medium
136952,29,self_employed,715,late_payments,frugal,medium,True,False,951953,5.79,22,0.65,0.59,4.43,4,477509,819408,falling,medium,medium,4.7,True,passed,False,sudden_address_change,healthcare,1.5,6.3,4.7,False,low
45636,65,contract,563,default,spending_heavy,low,True,True,313738,11.61,20,0.51,0.65,2.57,3,276425,173394,stable,high,medium,4.8,False,passed,False,"none,unusual_large_transaction",hospitality,4.7,3.5,2.6,False,high
111965,50,contract,830,default,frugal,low,True,True,451900,6.21,6,0.81,0.63,3.82,1,591816,868216,falling,medium,high,7.3,False,passed,False,"none,unusual_large_transaction",manufacturing,5.7,9.6,8.7,True,high
57266,56,self_employed,710,good,spending_heavy,low,True,False,124087,10.13,20,0.75,0.55,3.07,0,899168,917740,stable,medium,low,3.7,True,failed,False,"multiple_ids_used,unusual_large_transaction",construction,-0.7,9.7,4.1,True,medium
127306,47,freelancer,794,default,spending_heavy,low,True,True,632696,10.01,17,0.52,0.71,4.23,2,521998,591205,falling,medium,low,9.9,True,failed,False,"none,unusual_large_transaction",hospitality,-0.5,5.3,3.2,True,medium
86896,55,self_employed,407,mixed,spending_heavy,high,False,False,527371,9.88,27,0.81,0.45,4.25,1,549199,403601,rising,low,low,4.6,True,passed,True,"sudden_address_change,unusual_large_transaction",hospitality,6.9,10.9,5.7,False,high
82100,41,contract,717,late_payments,moderate,medium,False,False,929231,9.77,28,0.9,0.65,3.75,1,120091,378838,falling,medium,low,6.4,False,passed,True,multiple_ids_used,construction,2.6,8.6,6.8,True,medium
75580,21,freelancer,566,default,spending_heavy,high,True,False,512443,6.86,29,0.59,0.74,5.77,3,927550,359273,stable,medium,low,10.6,True,failed,False,unusual_large_transaction,healthcare,-2.0,3.8,6.7,False,medium
