income,employment_type,credit_score,loan_amount,interest_rate,tenure_years,market_value,price_trend,fraud_flag,dti_ratio,ltv_ratio,default
141958,salaried,520,468058,14.685373316998922,19,384128,rising,0,0.2747631928692524,1.2184948767077641,1
35795,self-employed,453,338565,11.036372005593751,22,121505,rising,0,0.7882036597290124,2.786428542035307,1
20860,self-employed,311,313852,5.769794670649663,16,585277,rising,1,1.2538031319910514,0.5362452308906723,1
123694,salaried,432,446846,5.75583613854067,21,182478,rising,0,0.3010426266970643,2.448766426637732,1
148106,contract,603,462811,14.51423220845566,5,142699,rising,1,0.2604052728001116,3.243267296897666,1
139879,self-employed,592,126021,7.972907903073336,15,500173,rising,0,0.07507738831418584,0.25195482363102367,1
130268,contract,599,209380,5.920669860824754,5,498680,stable,0,0.13394182249925793,0.41986845271516804,1
96820,self-employed,342,94789,10.990445871503816,19,456156,stable,0,0.08158524409557254,0.20779952472399793,1
74886,self-employed,642,498906,11.23648778290266,25,234721,rising,0,0.5551838794968352,2.125527754227359,1
26265,salaried,625,76086,11.485048201186881,14,515281,rising,0,0.24140491147915477,0.14765923835732347,0
102386,contract,797,329003,7.674020278575413,11,565877,falling,0,0.2677799373612278,0.581403732613271,0
148214,self-employed,663,57684,5.151106842144751,6,376902,rising,1,0.03243283360546237,0.15304774185331996,1
57194,salaried,726,141088,14.650153694544718,14,216668,falling,0,0.2055693487661876,0.6511713774069082,0
107498,salaried,320,444423,7.508930456911025,28,358518,falling,0,0.3445203631695473,1.2396114002644218,1
132727,salaried,706,96099,11.760262880525474,8,198686,stable,0,0.06033625411559065,0.4836727298350161,0
146324,self-employed,635,116093,12.066298698787095,16,345919,falling,0,0.06611640377973994,0.3356074688004995,0
64131,contract,416,210761,11.100074170794857,23,369532,falling,0,0.273867812238491,0.5703457346048515,1
80263,salaried,423,360795,8.129073942136483,15,465944,falling,0,0.37459663855076436,0.7743312501073091,1
36023,salaried,698,63893,7.710962537640658,12,363173,rising,0,0.1478060313318343,0.17592992871166083,0
61090,salaried,350,116418,10.97668282702703,22,163981,falling,1,0.15880667867081355,0.7099481037437264,1
87221,contract,623,175074,13.660956336116914,15,395783,falling,0,0.16727049678403136,0.4423484586250546,0
84820,self-employed,440,415209,14.467337289233956,15,194010,rising,0,0.4079315020042443,2.140142260708211,1
20769,self-employed,769,180351,6.0590580440375765,17,487861,rising,0,0.7236385959843998,0.36967701865900326,1
79735,salaried,633,241083,6.5482861259771985,7,111105,rising,0,0.25196275161472376,2.1698663426488456,1
82955,salaried,672,88635,14.447362587830796,16,486884,stable,0,0.08903923814116087,0.18204541533506954,0
84925,salaried,793,499331,12.365352283347926,7,339021,rising,0,0.4899725247767638,1.4728615631480055,1
141637,salaried,838,145071,13.829938248297731,14,227032,rising,0,0.08535375643370023,0.6389892173790479,0
87969,self-employed,455,390662,7.026326341353432,21,206519,rising,0,0.37007544324326375,1.8916516155898488,1
25311,self-employed,590,418377,10.875858711094018,26,222429,falling,0,1.3774544664375172,1.8809462794869374,1
123355,contract,443,415795,12.011395944174737,6,537820,rising,0,0.2808932214610947,0.773111821799115,1
124724,contract,405,122805,11.801118854469728,21,444883,stable,0,0.0820511689811103,0.2760388686463632,1
103104,salaried,719,471280,9.08151690866698,20,393940,stable,0,0.38090989033726463,1.1963243133472103,1
73707,self-employed,301,434957,5.153948916913085,6,357948,falling,1,0.49176355931820137,1.2151401879602624,1
105305,contract,389,391207,10.829260568042631,26,207732,falling,0,0.3095824826298213,1.8832293532050912,1
48693,self-employed,644,314598,7.531015391796087,24,588949,rising,0,0.5384038773540345,0.5341684933669978,1
91932,salaried,649,333022,9.502542461428902,10,225698,rising,0,0.30187348619994486,1.4755203856480783,1
147723,salaried,758,232170,14.575810150838173,29,239204,falling,0,0.13097148040589482,0.9705941372217856,1
113016,salaried,562,243226,8.990353176424346,14,350095,rising,0,0.1793448125339185,0.6947428555106471,1
126970,contract,650,194063,13.398016066644267,14,479665,rising,0,0.12736801344149537,0.4045802799870743,0
45658,self-employed,407,118344,6.885406057492512,12,361209,falling,0,0.21599719654825003,0.3276330323995249,1
104478,salaried,338,417090,11.724604980250287,5,443647,rising,1,0.33267769291142635,0.9401393450198018,1
142537,self-employed,458,86593,14.770069544389434,17,185072,stable,0,0.05062603628063824,0.4678881732514913,1
38431,self-employed,611,86304,6.018931008729368,28,220202,rising,0,0.18714058962816477,0.39193104513128857,0
22747,salaried,540,473602,5.08319942227192,13,169360,falling,0,1.7350346565847512,2.796421823334908,1
143855,salaried,744,236292,9.335827926326143,26,142287,falling,0,0.13688088700427514,1.6606717409180038,1
79150,self-employed,597,163613,5.926254830513672,14,318009,falling,0,0.17226047588966098,0.5144917282215283,1
85725,salaried,335,250410,12.483843496762313,19,262774,rising,0,0.24342373869932926,0.9529481607769414,1
149981,self-employed,383,464299,14.14548663848559,9,248065,falling,0,0.25797656592057217,1.871682825066011,1
104654,salaried,751,68354,9.340209727087588,26,242947,stable,0,0.05442856141826081,0.28135354624671227,0
55773,self-employed,684,334334,7.587116421554409,20,326356,falling,0,0.4995457778255906,1.0244456973366507,1
139346,salaried,471,56142,9.344033190066098,17,217126,rising,0,0.03357469895081308,0.25856875731142287,1
87435,salaried,675,471614,12.23447817850001,26,310881,falling,0,0.44949009740569185,1.517024198970024,1
76886,self-employed,661,233043,5.09054161580371,29,187357,falling,0,0.2525849959680566,1.2438446388445588,1
86803,salaried,440,354006,10.894539894846972,24,521733,falling,0,0.339855765353732,0.6785194726038031,1
51551,salaried,417,234482,11.13291684887379,22,287440,stable,0,0.3790453466793402,0.8157598107431117,1
136216,salaried,576,200575,11.376882468959355,15,109670,rising,0,0.12270646130655234,1.8288957782438224,1
31394,self-employed,519,175438,7.420220799808773,13,391256,falling,0,0.46568877280159693,0.44839695749074776,1
89092,self-employed,325,98456,12.140527233781267,20,430532,falling,0,0.0920920696209162,0.2286845112558416,1
23890,self-employed,820,150167,5.913914863317764,6,431300,falling,0,0.5238140086507604,0.3481729654532808,1
61606,salaried,309,394179,6.992703364668008,29,239379,stable,0,0.5331988767327858,1.6466732670785658,1
116276,salaried,677,320160,13.77470046654482,6,324159,stable,0,0.2294540575871203,0.9876634614494739,1
145768,salaried,451,314528,12.387231507265664,16,278159,falling,0,0.17981084097104075,1.1307489601271214,1
100038,salaried,348,243392,5.137455540113453,12,390066,rising,1,0.20274962181037873,0.6239764552665447,1
107313,salaried,453,458288,7.483762603698002,13,274152,rising,0,0.35588108306231925,1.6716565992588053,1
30627,salaried,592,152239,7.144064829931645,16,435492,falling,1,0.4142287306407201,0.3495793263710929,1
28792,salaried,349,161431,7.708063280369726,13,159335,stable,0,0.4672333750115773,1.0131546741142876,1
128859,contract,830,392162,7.475597702798864,14,368456,rising,0,0.25361182894998924,1.0643387541524632,1
128557,salaried,359,90510,5.625262957428458,29,578372,rising,0,0.058670473019749994,0.1564909781248055,1
93969,salaried,466,230005,9.589405165968204,6,146985,rising,0,0.2039724093406691,1.5648195394087832,1
63001,self-employed,501,333970,12.327334747861652,20,210744,stable,0,0.4417522473188256,1.584718900656721,1
96552,salaried,445,380170,11.067317247174364,24,331713,rising,1,0.3281219791752976,1.1460811002282094,1
43897,self-employed,738,171668,11.728716685980798,11,530824,falling,0,0.3258916706532717,0.3233990927313008,0
88148,self-employed,541,292700,5.811491785362391,6,563178,falling,0,0.2767126499372268,0.5197291087364918,1
141729,contract,782,468734,14.514907101767871,5,443107,stable,0,0.2756046163217596,1.0578347893398208,1
144243,salaried,407,74045,13.384918338430248,23,251349,falling,0,0.04277792798726224,0.2945903902541884,1
140923,contract,525,231948,13.050903184956628,8,111551,falling,1,0.13716000936681735,2.079300051097704,1
140174,salaried,731,140102,13.229838050417674,28,169813,rising,0,0.08329052938966332,0.8250369524123595,0
43483,salaried,718,364063,14.327105081327613,26,529813,falling,0,0.6977113661277587,0.687153769348808,1
144358,salaried,754,149441,10.442539661136976,6,443169,falling,0,0.0862675893727169,0.3372099582777676,0
68555,contract,459,208175,7.002820178676259,29,466486,stable,0,0.25305107820970996,0.44626205288047227,1
145436,salaried,822,299877,11.167836078525411,18,256284,rising,1,0.17182643912098794,1.1700964554946856,1
37159,salaried,376,479404,12.428814936679391,6,89637,rising,0,1.0751186343371277,5.348282517264076,1
130510,self-employed,808,186917,12.379173933540255,19,385402,rising,0,0.11935036906495032,0.4849922937608004,0
126530,salaried,740,267770,10.214490241668802,16,508909,rising,0,0.17635475117890356,0.5261647956707388,0
100077,salaried,553,479890,5.684587193335781,9,483040,stable,0,0.3996006408398866,0.9934788009274594,1
55920,salaried,619,168325,8.711129384301278,24,209553,rising,0,0.25084197663328567,0.8032574098199501,0
112067,salaried,562,69337,14.207666084633573,11,106950,falling,0,0.05155918632008828,0.6483122954651707,1
87121,salaried,673,203385,10.844489097574261,28,496704,rising,0,0.19454264758209847,0.40946922110552764,0
89479,salaried,466,470159,10.383319432557133,25,207870,rising,0,0.4378671718131256,2.2617934285851735,1
109475,self-employed,758,390093,7.688535143821936,14,577760,falling,0,0.29694222425211236,0.6751817363611188,0
39457,salaried,579,312420,8.684489199165789,18,588416,rising,0,0.6598322224193426,0.5309508918860126,1
86557,salaried,601,363295,13.953460891531693,18,80215,rising,0,0.34976470225785705,4.529015770117808,1
97189,self-employed,830,460827,11.664630475268357,9,447747,falling,0,0.39512959285515853,1.0292129260497558,1
129109,salaried,517,193016,12.873870267523328,22,353667,falling,0,0.12458207147965414,0.5457563187970605,1
98953,self-employed,401,365031,9.543454230676552,28,549116,rising,0,0.30741109415581136,0.6647611797871488,1
72995,salaried,587,131442,11.30247219456158,18,410833,stable,0,0.15005822316597028,0.3199402190184333,1
60757,salaried,466,99847,7.483836087432075,6,103834,falling,0,0.13694855462470717,0.9616021726987307,1
29692,salaried,335,108653,12.054608302834863,16,376618,falling,1,0.304944654003323,0.28849656681305724,1
65758,salaried,652,267144,9.276013337033373,26,123066,rising,0,0.338544359621643,2.1707376529667006,1
149425,salaried,372,303661,9.425455148147456,28,573087,rising,1,0.1693497295187106,0.5298689378750522,1
92409,salaried,652,368766,11.493223245768817,10,352544,rising,0,0.3325487777164562,1.0460141145502406,1
91211,salaried,369,339954,14.362806214689266,8,467355,rising,0,0.3105930205786583,0.7273999422280707,1
85697,salaried,724,127842,5.640063466086209,17,90345,falling,0,0.12431590370724763,1.4150423377054624,1
57065,salaried,816,434369,13.247432373470076,8,113896,stable,0,0.634319051374164,3.813733581512959,1
112093,salaried,727,322647,7.923831104121931,26,558646,falling,0,0.2398655580633938,0.5775517948754667,0
119299,salaried,838,134761,9.439194545063778,18,371043,rising,0,0.09413392680016876,0.36319510137639033,0
149293,salaried,459,480192,5.21913328775009,20,579387,falling,0,0.2680366795496105,0.8287931900439602,1
52606,self-employed,448,438583,8.01046077834313,8,370373,rising,0,0.6947607370515404,1.1841656924235837,1
147791,salaried,529,323734,10.026312426301304,28,590269,falling,0,0.18254043435211437,0.5484516381514191,1
31534,self-employed,366,191958,5.56176077347439,29,347727,falling,0,0.5072778588190524,0.5520365114011854,1
114663,self-employed,680,456082,9.91095729383165,5,478113,falling,0,0.3314655410492777,0.9539209350090878,1
60397,salaried,357,378768,14.271106288584273,17,593622,stable,0,0.5226087388446446,0.638062605496427,1
146678,self-employed,558,213864,6.053932181078052,8,151537,rising,0,0.12150424739906462,1.411298890699961,1
111387,contract,641,452980,12.644407280755043,24,320489,falling,0,0.3388935273715365,1.4134026440845084,1
21016,salaried,429,306910,9.096710533759927,22,477783,stable,0,1.2169696104555259,0.6423627462676571,1
109789,salaried,471,170356,11.55173714524338,10,154807,falling,0,0.12930560742272298,1.1004411945196277,1
75591,self-employed,508,267228,7.602365979852293,7,209648,falling,0,0.2945985633210303,1.2746508433183241,1
109812,self-employed,653,92727,6.594922625413583,27,454796,stable,0,0.07036799256911813,0.20388701747596724,0
43247,salaried,770,390615,6.604626142712265,17,550455,rising,0,0.7526822669780563,0.7096220399487696,1
44300,salaried,415,58068,5.704919456431447,20,224401,stable,0,0.10923250564334086,0.2587689003168435,1
94065,salaried,563,166923,6.85646704901243,9,312117,rising,0,0.14787912613618243,0.5348090619863705,1
102798,salaried,741,450511,11.642193849889683,8,328780,falling,0,0.3652073321789659,1.3702506235172456,1
29268,self-employed,847,484376,13.81690611843508,25,413936,stable,0,1.3791399025101363,1.1701712342004562,1
106807,salaried,752,61390,13.141256855911617,12,473444,rising,0,0.0478979217966363,0.12966686661991703,0
32185,salaried,776,156752,11.851343098744842,23,563498,falling,0,0.40586194396975817,0.27817667498376214,0
83704,self-employed,586,463347,6.104318634111027,18,293286,rising,0,0.46129515913218005,1.5798469753073792,1
106779,salaried,602,406898,7.891874462959498,11,117052,stable,0,0.31755463777209625,3.47621569900557,1
59099,salaried,610,388113,8.09806875322469,18,530985,stable,0,0.5472639130949762,0.7309302522670132,1
28571,self-employed,507,196110,7.499569463976212,10,126032,falling,0,0.5719960799411992,1.5560333883458168,1
143372,self-employed,745,495543,10.150056597097231,16,584910,falling,0,0.2880286945847167,0.8472123916499974,0
125512,salaried,354,274790,10.355538148796725,20,561937,stable,0,0.18244603437652707,0.4890049952218843,1
58044,salaried,311,389208,8.568859751711102,21,375830,rising,0,0.558782992212804,1.0355958811164623,1
71214,salaried,699,71281,8.53789158736436,17,419125,falling,0,0.08341173552016926,0.17007098121085595,0
81228,salaried,814,104189,13.285555979060813,27,178802,falling,0,0.10688945519607361,0.5827060099998882,0
134752,salaried,841,312093,12.892928483196856,18,536477,rising,0,0.19300455651864165,0.5817453497540435,0
68984,salaried,536,360655,8.077958316807457,11,476025,rising,0,0.43567469751439947,0.7576387794758679,1
60774,salaried,578,172115,14.137884438732593,18,314337,rising,1,0.23600415747962397,0.5475492862755578,1
22568,salaried,647,58605,14.52815017002506,19,252857,rising,0,0.2164015420063807,0.23177131738492507,0
140151,salaried,403,412462,8.267425420300409,16,509763,stable,0,0.24524857712990514,0.809125024766411,1
82592,salaried,816,444597,8.544249487930548,21,384962,falling,0,0.4485876356063541,1.1549113938518607,1
87563,salaried,547,331954,10.056341534219587,13,442566,falling,0,0.31591920483918245,0.7500666567246467,1
22695,salaried,663,299415,14.411208125336735,26,414071,rising,0,1.0994161709627672,0.7231006276701338,1
144375,salaried,620,205394,13.763194331423115,19,276753,rising,0,0.11855353535353536,0.7421563632553215,0
68190,self-employed,585,91869,6.025679625835898,16,421609,rising,0,0.11227086083003372,0.21790094613729782,1
25258,salaried,448,82955,8.927307432714162,6,300934,falling,1,0.27369216353894477,0.27565845002558703,1
107538,self-employed,383,111388,10.533711897497717,9,306599,falling,0,0.08631677484548098,0.3633019024850048,1
59504,self-employed,705,291324,10.0313247255154,17,193221,stable,0,0.40798937886528636,1.5077243156799727,1
53159,salaried,755,60207,6.938630679368927,24,379477,falling,0,0.09438194849414022,0.15865783697035657,0
33986,salaried,460,268401,13.588167711681546,27,206457,falling,0,0.6581165774142294,1.3000334210029207,1
81858,salaried,759,209292,11.769407829968372,12,358720,falling,0,0.21306408658897114,0.5834411239964318,0
149312,salaried,849,255157,13.379083748518037,18,199875,stable,0,0.14240706261608801,1.2765828642901813,1
32666,self-employed,799,72031,13.587642793494721,19,381549,falling,0,0.18375630114900304,0.1887857129752666,0
58660,salaried,808,392951,12.483558536657398,15,436144,rising,0,0.558232469598818,0.9009661946513078,1
23561,salaried,780,121312,9.392106012497173,5,546995,falling,0,0.42907063933336165,0.221778992495361,0
46854,salaried,413,109766,11.105467550154245,25,111601,falling,0,0.1952270172592877,0.983557495004525,1
84505,salaried,660,193521,6.603654061197432,7,410090,falling,1,0.19083782024732265,0.4718988514716282,1
124488,self-employed,640,401977,11.736454174749078,21,540572,rising,0,0.269086846389478,0.7436141716552097,0
72251,salaried,748,237771,6.792532557392807,23,394260,stable,0,0.27424187900513486,0.603081722721047,0
42662,salaried,479,287199,11.939495905101568,18,574041,stable,0,0.5609969059115841,0.500310953398799,1
28392,contract,706,286731,7.295981607539686,26,597965,rising,0,0.8415838968723585,0.47951134263711087,1
50535,self-employed,495,285841,6.1755130015022,27,590472,stable,0,0.47135813462616666,0.4840889999864515,1
98603,salaried,765,161041,6.6528449014295745,12,184186,rising,0,0.13610218079909672,0.8743389834189352,1
133569,salaried,610,166185,5.0199213521907025,17,405038,rising,1,0.10368236641735733,0.41029483653385607,1
72256,salaried,561,227164,12.187396178535302,24,245707,rising,1,0.2619897770888692,0.9245320646135438,1
109135,salaried,718,60350,12.324010490583792,7,349609,rising,0,0.04608206960797789,0.1726214142084443,0
147478,salaried,705,277230,10.149333499132595,9,136754,stable,0,0.15665048346194008,2.0272167541717243,1
55222,salaried,442,413003,6.613628010553837,13,309047,rising,0,0.623246471816788,1.33637602047585,1
97373,salaried,641,311570,5.835543375106898,10,172850,rising,1,0.266646469418285,1.8025455597338733,1
99575,salaried,615,118487,5.19128966437287,29,451909,rising,0,0.09916059921332329,0.26219216700707443,0
143684,self-employed,400,198694,6.6574817696522075,26,296191,rising,0,0.11523783673431512,0.670830646440979,1
116354,salaried,543,173853,13.908555349831467,6,434835,rising,0,0.12451441291231931,0.3998137224464452,1
104651,salaried,789,365261,7.4153684170168175,17,118871,falling,0,0.29085643392482313,3.072751133581782,1
83335,salaried,311,285062,8.542713272172158,9,273946,rising,0,0.2850562988740225,1.0405773400597198,1
30965,contract,538,283077,6.053454844813332,29,550949,stable,0,0.7618197965444857,0.513798917867171,1
44538,salaried,341,413228,7.223613047481702,12,371655,stable,0,0.7731749666951068,1.111859116653886,1
128066,salaried,728,73782,10.192245707802051,27,423104,rising,1,0.04801040088704262,0.17438265769172592,1
90592,contract,457,340598,11.077526830956526,5,522037,stable,0,0.3133076504179913,0.6524403442667857,1
118018,self-employed,515,380048,7.45352314166211,24,407920,rising,0,0.2683545447869534,0.9316728770347127,1
133252,self-employed,761,179936,5.577321592251172,16,329200,rising,0,0.11252864247190786,0.5465856622114216,0
28110,salaried,433,458808,8.910328691273985,27,281239,rising,0,1.360156527926005,1.6313811384623043,1
99309,salaried,366,203245,7.342033709263341,15,548351,rising,0,0.17054932919809215,0.37064763262946543,1
47266,self-employed,306,476420,7.195539232298019,11,386606,falling,0,0.8399624818403645,1.2323140354779802,1
72992,contract,825,478812,14.598628027134552,19,534598,falling,0,0.5466489478298991,0.8956486930366369,1
102948,salaried,372,477540,11.16300485925724,26,563410,rising,1,0.38655437696701245,0.8475887896913438,1
142073,salaried,698,172258,10.568784431720958,28,314453,falling,0,0.10103843329368235,0.5478020562691404,0
118806,salaried,704,161668,9.157751035233218,15,112574,rising,0,0.11339775207761674,1.436104251425729,1
26910,self-employed,429,436328,9.289443334301442,26,182072,falling,0,1.3511953424996903,2.3964585438727535,1
130989,salaried,765,473966,10.409050038380808,20,515126,rising,0,0.30153040840579487,0.9200972189328436,1
110982,salaried,505,328710,11.964298070361073,7,284603,rising,0,0.24681930403128435,1.1549772841466885,1
141626,salaried,565,188262,12.021460961818295,24,236258,rising,0,0.11077415163882338,0.7968492072226125,1
139176,salaried,836,88333,6.716939077054496,18,567997,rising,0,0.052890464831101144,0.15551666646126652,0
20206,salaried,552,434073,10.00112752076627,7,233885,falling,0,1.7901984559041868,1.8559249203668469,1
107054,salaried,588,261977,9.11958095034102,5,289884,stable,1,0.2039290140178477,0.9037304577003215,1
107897,self-employed,463,139571,13.705269662693842,25,296597,rising,0,0.10779647874052724,0.47057455065290615,1
142409,salaried,394,170263,11.314189212183763,19,420426,falling,0,0.09963263089645552,0.40497733251511564,1
43419,salaried,409,444805,10.325040664159818,5,189779,falling,0,0.8537065186515888,2.3438051628473118,1
70636,salaried,635,75235,6.153946421789174,21,98557,stable,0,0.08875903694055912,0.7633653621762027,0
142546,salaried,537,50159,11.056378893234115,6,239132,rising,0,0.029323282776554,0.20975444524363113,1
134238,salaried,680,193217,6.172039056802334,24,532082,falling,0,0.11994678605660593,0.3631338778609312,0
70015,salaried,735,212993,8.37206575565752,10,414248,stable,0,0.2535087719298246,0.5141678414862595,0
137478,salaried,782,417003,6.4284196481433185,12,311977,falling,0,0.25276953403453645,1.3366466117694573,1
142096,salaried,324,197309,11.920736470243689,20,557793,rising,0,0.11571343786360395,0.35373158142895306,1
127059,salaried,416,157507,7.062521138361526,23,217152,rising,0,0.10330305868402344,0.7253306439728854,1
74268,contract,781,451460,8.91859373188026,5,224926,rising,0,0.5065663094019855,2.0071490178992204,1
130687,salaried,691,64743,13.956747776187786,7,464157,falling,1,0.041283754313742,0.13948513110865504,1
107939,self-employed,836,278174,7.043163833989703,7,278767,falling,0,0.21476173270705368,0.9978727754719892,1
38141,salaried,378,96101,10.07805063958779,9,238097,rising,0,0.20996871258400845,0.4036212132030223,1
100356,self-employed,472,292717,9.19271661166022,16,264054,falling,0,0.24306552008184198,1.1085497663356738,1
125878,self-employed,311,171534,5.181240410457297,16,121081,falling,0,0.11355836603695642,1.41668800224643,1
91910,salaried,427,396371,12.927581135728127,24,477584,falling,1,0.3593832734921844,0.8299503333445006,1
76044,salaried,391,280604,5.6904590631459975,17,310693,falling,0,0.3075017972051269,0.9031552046553993,1
87214,salaried,842,237450,9.742550209769536,24,461325,stable,0,0.2268844451578875,0.5147130547878394,0
137930,salaried,831,383270,10.6067829493895,13,369238,rising,0,0.23156069503854612,1.0380025891159632,1
139324,contract,746,368215,11.284264566145872,11,519256,stable,0,0.22023903515067994,0.7091203568182168,0
